"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","9","3","1","31.315922","0","30"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","0","11","1","1","28.524199","0","73"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","0","6","2","1","10.607518","0","24"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","0","6","2","1","11.439769","0","24"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","9","4","1","19.695034","0","33"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","8","1","1","10.998945","0","43"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","0","16","1","1","20.366869","0","153"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","7","1","1","9.475971","0","34"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","0","8","1","1","10.224147","0","43"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","6","1","1","7.374597","0","26"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","8","1","1","8.673980","0","43"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","14","1","1","15.155244","0","111"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","40","1","1","33.353992","0","790"
"/Engine/VREditor/TransformGizmo/Main.Main","0","6","1","1","6.633982","0","26"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","6","1","1","7.186073","0","23"
"/Game/Assets/Blueprints/CandleFlicker.CandleFlicker","0","40","1","1","31.804647","0","859"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","0","11","1","1","12.367553","0","76"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","8","1","1","8.188800","0","43"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","48","2","2","54.782852","0","676"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","0","11","3","1","16.055950","0","63"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","0","11","1","1","12.285679","0","73"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","16","1","1","17.355709","0","145"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","7","1","1","11.054442","0","34"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","7","1","1","7.454063","0","34"
