"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","0","4586","0","1","0.000000","0","0"
"/Game/Assets/Blueprints/CandleFlicker.CandleFlicker","0","35","5","1","110.633904","0","170"
"/Game/STF/Landscape/Environment/Foliage/DeadTrees/M_dead-tree-lod3.M_dead-tree-lod3","0","82","11","1","182.219833","0","3304"
"/Game/Assets/Asylum/WaterFountainTexture/waterfountain.waterfountain","0","14","1","1","31.973957","0","118"
"/Game/Assets/Asylum/RoofTiles/RoofTiles.RoofTiles","0","14","1","1","30.883266","0","114"
"/Game/Assets/Asylum/LadyoftheAsylum/Dress.Dress","0","26","1","1","61.470406","0","360"
"/Game/Assets/Asylum/LadyoftheAsylum/Eyes.Eyes","0","26","1","1","61.217060","0","356"
"/Game/Assets/Asylum/LadyoftheAsylum/Body.Body","0","26","1","1","63.622879","0","361"
"/Game/Assets/Asylum/LadyoftheAsylum/Hair.Hair","0","30","1","1","67.778091","0","362"
"/Game/Assets/Asylum/InteriorBedWalls/InteriorBricks.InteriorBricks","0","14","1","1","31.085045","0","87"
"/Game/Assets/Asylum/AsylumFence/01_-_Default.01_-_Default","0","28","1","1","50.825474","0","309"
"/Game/Assets/Asylum/BrickTexture_Exterior_/BrickMat.BrickMat","0","14","1","1","31.841307","0","92"
"/Game/Assets/Asylum/AsylumFence/Textures/Albedo/Paint_Ruste_albedo_Mat.Paint_Ruste_albedo_Mat","0","28","1","1","61.848713","0","234"
"/Game/Assets/Asylum/AsylumDecorations/Models/TV_Retro.TV_Retro","0","14","1","1","31.029175","0","93"
"/Game/Assets/Asylum/AsylumDecorations/Models/Toilet.Toilet","0","14","1","1","31.575874","0","59"
"/Game/Assets/Asylum/AsylumDecorations/Models/ToiletWall.ToiletWall","0","14","1","1","31.997990","0","73"
"/Game/Assets/Asylum/AsylumDecorations/Models/Tap.Tap","0","14","1","1","31.432638","0","77"
"/Game/Assets/Asylum/AsylumDecorations/Models/Tank_V2.Tank_V2","0","14","1","1","31.269918","0","66"
"/Game/Assets/Asylum/AsylumDecorations/Models/TableSmall.TableSmall","0","14","1","1","31.737686","0","64"
"/Game/Assets/Asylum/AsylumDecorations/Models/TableOffice.TableOffice","0","14","1","1","31.705027","0","69"
"/Game/Assets/Asylum/AsylumDecorations/Models/TableKitchen.TableKitchen","0","14","1","1","30.277016","0","75"
"/Game/Assets/Asylum/AsylumDecorations/Models/SurgeryTable.SurgeryTable","0","14","1","1","30.490957","0","64"
"/Game/Assets/Asylum/AsylumDecorations/Models/SurgeryLamp.SurgeryLamp","0","14","1","1","32.049126","0","72"
"/Game/Assets/Asylum/AsylumDecorations/Models/Construction.Construction","0","14","1","1","30.202072","0","53"
"/Game/Assets/Asylum/AsylumDecorations/Models/Matres.Matres","0","14","1","1","30.983774","0","64"
